,광고그룹,키워드,노출수,클릭수,"총비용(VAT포함,원)"
199,상업용 부동산 실무 입문 4기,창고매매,642191,78.0,48114
200,AOP 전체_중복키워드_데이터사이언스,데이터분석,7098,6.0,47685
201,ㅍAOP 전체_중복키워드_디자인(삭제),프리미어프로,127788,39.6,47597
202, 투자_파워콘텐츠,펀드,4855,178.79999999999998,46937
203,Python & Django를 활용한 웹 서비스_개발자,PHP,11304,13.2,46068
204,AOP 전체_중복키워드_디자인,UXUI,8957,27.599999999999998,45408
205, 파이썬 웹 개발_3.FLASK기초,SQL,7980,12.0,45375
206,ㅍ UX/UI 디자인 입문_연관검색어(삭제),UI디자인,2812,13.2,45276
207,왕초보의 파이썬 웹 프로그래밍 CAMP,웹크롤링,1929,13.2,45100
208, 디지털 마케팅_2. 페이스북 광고,페이스북광고,6750,15.6,44011
209,ㅍAOP 전체_중복키워드_디자인(삭제),포토샵강의,3292,15.6,43593
210, 투자_파워콘텐츠,투자,3567,135.6,42537
211,2. C언어 일반,C언어프로그램,8779,12.0,41668
212, 데이터 분석 입문 온라인_파콘,빅데이터자격증,5459,104.39999999999999,41327
213,1. 코딩,코딩사이트,3404,32.4,41239
214, 금융공학/퀀트_01.파이썬기본&자동화,파이썬프로그래밍,7171,8.4,40711
215,인스타그램 마케팅,인스타그램팔로워늘리기,9462,45.6,40557
216,1. 컴퓨터공학 일반,컴퓨터공학,26252,18.0,40381
217,상업용 부동산 실무 입문 4기,건물매입,4674,20.4,40029
218,AOP 전체_중복키워드_디자인,일러스트레이터,115582,13.2,39512
219,마케터를 위한 데이터 해석 실전,퍼포먼스마케팅,2419,25.2,39204
220, 영상 제작/편집_2.영상제작이론,영상제작,19186,12.0,39160
221,8. 시스템 프로그래밍,LINUX,50143,20.4,38643
222,대기업을 이기는 브랜딩 전략,브랜딩디자인,1378,24.0,38357
223,2. C언어 일반,C언어기초,3850,7.199999999999999,38016
224,ㅍAOP 전체_중복키워드_디자인(삭제),포토샵강좌,10559,9.6,37983
225, 영상 제작/편집_9.유튜브/유튜버,유튜브영상제작,2476,9.6,37565
226,1. 일반_PC,모바일게임개발,1554,7.199999999999999,37554
227, 금융공학/퀀_03.금융공학,딥러닝,41707,10.799999999999999,37367
